DEBUG | 2018-03-23 15:58:34,654 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:8:L1948863195
DEBUG | 2018-03-23 15:58:34,654 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1948863195):null
DEBUG | 2018-03-23 15:58:34,654 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(10):L302870502 
DEBUG | 2018-03-23 15:58:34,654 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:10:L1890187342
DEBUG | 2018-03-23 15:58:34,654 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1890187342):null
DEBUG | 2018-03-23 15:58:34,654 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:10:L1890187342
DEBUG | 2018-03-23 15:58:34,654 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1890187342):null
DEBUG | 2018-03-23 15:58:34,654 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(11):L876926621 
DEBUG | 2018-03-23 15:58:34,655 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:11:L19986569
DEBUG | 2018-03-23 15:58:34,655 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L19986569):null
DEBUG | 2018-03-23 15:58:34,655 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:11:L19986569
DEBUG | 2018-03-23 15:58:34,655 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L19986569):null
DEBUG | 2018-03-23 15:58:34,659 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | 
DEBUG | 2018-03-23 15:58:34,659 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Writing instrumented class into:C:\Users\wangx\git\cxgm\cxgm-parent\cxgm-framework\cxgm-eureka-register\target\generated-classes\cobertura\com\cxgm\eureka\register\ServiceRegistryApplication.class
